year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
2007,2008,80,Best Actor,Male,George Clooney,White,Michael Clayton,FALSE
2007,2008,80,Best Actor,Male,Johnny Depp,White,Sweeney Todd The Demon Barber of Fleet Street,FALSE
2007,2008,80,Best Actor,Male,Tommy Lee Jones,White,In the Valley of Elah,FALSE
2007,2008,80,Best Actor,Male,Viggo Mortensen,White,Eastern Promises,FALSE
2007,2008,80,Best Actor in supporting role,Male,Casey Affleck,White,The Assassination of Jesse James by the Coward Robert Ford,FALSE
2007,2008,80,Best Actor in supporting role,Male,Philip Seymour Hoffman,White,Charlie Wilson's War,FALSE
2007,2008,80,Best Actor in supporting role,Male,Hal Holbrook,White,Into the Wild,FALSE
2007,2008,80,Best Actor in supporting role,Male,Tom Wilkinson,White,Michael Clayton,FALSE
2007,2008,80,Best Actress,Female,Cate Blanchett,White,Elizabeth: The Golden Age,FALSE
2007,2008,80,Best Actress,Female,Julie Christie,White,Away from Her,FALSE
2007,2008,80,Best Actress,Female,Laura Linney,White,The Savages,FALSE
2007,2008,80,Best Actress,Female,Ellen Page,White,Juno,FALSE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Cate Blanchett,White,I'm Not There,FALSE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Ruby Dee,Black,American Gangster,FALSE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Saoirse Ronan,White,Atonement,FALSE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Amy Ryan,White,Gone Baby Gone,FALSE
2007,2008,80,ANIMATED FEATURE FILM,Female,Marjane Satrapi and Vincent Paronnaud,Asian,Persepolis,FALSE
2007,2008,80,ANIMATED FEATURE FILM,Male,Ash Brannon and Chris Buck,White,Surf's Up,FALSE
2007,2008,80,PRODUCTION DESIGN,Male,Art Direction: Arthur Max; Set Decoration: Beth A. Rubino,White,American Gangster,FALSE
2007,2008,80,PRODUCTION DESIGN,Female,Art Direction: Sarah Greenwood; Set Decoration: Katie Spencer,White,Atonement,FALSE
2007,2008,80,PRODUCTION DESIGN,Female,Art Direction: Dennis Gassner; Set Decoration: Anna Pinnock,White,The Golden Compass,FALSE
2007,2008,80,PRODUCTION DESIGN,Male,Art Direction: Jack Fisk; Set Decoration: Jim Erickson,White,There Will Be Blood,FALSE
2007,2008,80,CINEMATOGRAPHY,Male,Roger Deakins,White,The Assassination of Jesse James by the Coward Robert Ford,FALSE
2007,2008,80,CINEMATOGRAPHY,Male,Seamus McGarvey,White,Atonement,FALSE
2007,2008,80,CINEMATOGRAPHY,Male,Janusz Kaminski,White,The Diving Bell and the Butterfly,FALSE
2007,2008,80,CINEMATOGRAPHY,Male,Roger Deakins,White,No Country for Old Men,FALSE
2007,2008,80,COSTUME DESIGN,Male,Albert Wolsky,White,Across the Universe,FALSE
2007,2008,80,COSTUME DESIGN,Female,Jacqueline Durran,White,Atonement,FALSE
2007,2008,80,COSTUME DESIGN,Female,Marit Allen,White,La Vie en Rose,FALSE
2007,2008,80,COSTUME DESIGN,Female,Colleen Atwood,White,Sweeney Todd The Demon Barber of Fleet Street,FALSE
2007,2008,80,DIRECTING,Male,Julian Schnabel,White,The Diving Bell and the Butterfly,FALSE
2007,2008,80,DIRECTING,Male,Jason Reitman,White,Juno,FALSE
2007,2008,80,DIRECTING,Male,Tony Gilroy,White,Michael Clayton,FALSE
2007,2008,80,DIRECTING,Male,Paul Thomas Anderson,White,There Will Be Blood,FALSE
2007,2008,80,DOCUMENTARY (Feature),Female,Charles Ferguson and Audrey Marrs,White,No End in Sight,FALSE
2007,2008,80,DOCUMENTARY (Feature),Male,Richard E. Robbins,White,Operation Homecoming: Writing the Wartime Experience,FALSE
2007,2008,80,DOCUMENTARY (Feature),Female,Michael Moore and Meghan O'Hara,White,Sicko,FALSE
2007,2008,80,DOCUMENTARY (Feature),Female,Andrea Nix Fine and Sean Fine,White,War/Dance,FALSE
2007,2008,80,DOCUMENTARY (Short Subject),Female,Amanda Micheli and Isabel Vega,White,La Corona (The Crown),FALSE
2007,2008,80,DOCUMENTARY (Short Subject),Male,Tim Sternberg and Francisco Bello,White,Salim Baba,FALSE
2007,2008,80,DOCUMENTARY (Short Subject),Male,James Longley,White,Sari's Mother,FALSE
2007,2008,80,FILM EDITING,Female,Juliette Welfling,White,The Diving Bell and the Butterfly,FALSE
2007,2008,80,FILM EDITING,Male,Jay Cassidy,White,Into the Wild,FALSE
2007,2008,80,FILM EDITING,Male,Roderick Jaynes,White,No Country for Old Men,FALSE
2007,2008,80,FILM EDITING,Male,Dylan Tichenor,White,There Will Be Blood,FALSE
2007,2008,80,FOREIGN LANGUAGE FILM,Male,Israel,Asian,Beaufort,FALSE
2007,2008,80,FOREIGN LANGUAGE FILM,Male,Poland,White,Katyn,FALSE
2007,2008,80,FOREIGN LANGUAGE FILM,Male,Kazakhstan,Asian,Mongol,FALSE
2007,2008,80,FOREIGN LANGUAGE FILM,Male,Russia,White,12,FALSE
2007,2008,80,MAKEUP,Male,Rick Baker and Kazuhiro Tsuji,White,Norbit,FALSE
2007,2008,80,MAKEUP,Female,Ve Neill and Martin Samuel,White,Pirates of the Caribbean: At World's End,FALSE
2007,2008,80,MUSIC (Original Score),Male,Alberto Iglesias,White,The Kite Runner,FALSE
2007,2008,80,MUSIC (Original Score),Male,James Newton Howard,White,Michael Clayton,FALSE
2007,2008,80,MUSIC (Original Score),Male,Michael Giacchino,White,Ratatouille,FALSE
2007,2008,80,MUSIC (Original Score),Male,Marco Beltrami,White,3:10 to Yuma,FALSE
2007,2008,80,MUSIC (Original Song),Male,Music by Alan Menken; Lyric by Stephen Schwartz,White,Enchanted,FALSE
2007,2008,80,MUSIC (Original Song),Male,"Music and Lyric by Jamal Joseph, Charles Mack and Tevin Thomas",Black,August Rush,FALSE
2007,2008,80,MUSIC (Original Song),Male,Music by Alan Menken; Lyric by Stephen Schwartz,White,Enchanted,FALSE
2007,2008,80,MUSIC (Original Song),Male,Music by Alan Menken; Lyric by Stephen Schwartz,White,Enchanted,FALSE
2007,2008,80,BEST PICTURE,Male,"Tim Bevan, Eric Fellner and Paul Webster, Producers",White,Atonement,FALSE
2007,2008,80,BEST PICTURE,Female,"Lianne Halfon, Mason Novick and Russell Smith, Producers",White,Juno,FALSE
2007,2008,80,BEST PICTURE,Female,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",White,Michael Clayton,FALSE
2007,2008,80,BEST PICTURE,Female,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",White,There Will Be Blood,FALSE
2007,2008,80,SHORT FILM (Animated),Male,Josh Raskin,White,I Met the Walrus,FALSE
2007,2008,80,SHORT FILM (Animated),Male,Chris Lavis and Maciek Szczerbowski,White,Madame Tutli-Putli,FALSE
2007,2008,80,SHORT FILM (Animated),Male,Samuel Tourneux and Simon Vanesse,White,M?™me les Pigeons Vont au Paradis (Even Pigeons Go to Heaven),FALSE
2007,2008,80,SHORT FILM (Animated),Male,Alexander Petrov,White,My Love (Moya Lyubov),FALSE
2007,2008,80,SHORT FILM (Live Action),Female,Christian E. Christiansen and Louise Vesth,White,At Night,FALSE
2007,2008,80,SHORT FILM (Live Action),Female,Andrea Jublin,White,Il Supplente (The Substitute),FALSE
2007,2008,80,SHORT FILM (Live Action),Male,Guido Thys and Anja Daelemans,White,Tanghi Argentini,FALSE
2007,2008,80,SHORT FILM (Live Action),Male,Daniel Barber and Matthew Brown,White,The Tonto Woman,FALSE
2007,2008,80,SOUND EDITING,Male,Skip Lievsay,White,No Country for Old Men,FALSE
2007,2008,80,SOUND EDITING,Male,Randy Thom and Michael Silvers,White,Ratatouille,FALSE
2007,2008,80,SOUND EDITING,Male,Christopher Scarabosio and Matthew Wood,White,There Will Be Blood,FALSE
2007,2008,80,SOUND EDITING,Male,Ethan Van der Ryn and Mike Hopkins,White,Transformers,FALSE
2007,2008,80,SOUND MIXING,Male,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter Kurland",White,No Country for Old Men,FALSE
2007,2008,80,SOUND MIXING,Male,"Randy Thom, Michael Semanick and Doc Kane",White,Ratatouille,FALSE
2007,2008,80,SOUND MIXING,Male,"Paul Massey, David Giammarco and Jim Stuebe",White,3:10 to Yuma,FALSE
2007,2008,80,SOUND MIXING,Male,"Kevin O'Connell, Greg P. Russell and Peter J. Devlin",White,Transformers,FALSE
2007,2008,80,VISUAL EFFECTS,Male,"John Knoll, Hal Hickel, Charles Gibson and John Frazier",White,Pirates of the Caribbean: At World's End,FALSE
2007,2008,80,VISUAL EFFECTS,Male,"Scott Farrar, Scott Benza, Russell Earl and John Frazier",White,Transformers,FALSE
2007,2008,80,WRITING (Adapted Screenplay),Male,Screenplay by Christopher Hampton,White,Atonement,FALSE
2007,2008,80,WRITING (Adapted Screenplay),Female,Written by Sarah Polley,White,Away from Her,FALSE
2007,2008,80,WRITING (Adapted Screenplay),Male,Screenplay by Ronald Harwood,White,The Diving Bell and the Butterfly,FALSE
2007,2008,80,WRITING (Adapted Screenplay),Male,Written for the Screen by Paul Thomas Anderson,White,There Will Be Blood,FALSE
2007,2008,80,WRITING (Original Screenplay),Female,Written by Nancy Oliver,White,Lars and the Real Girl,FALSE
2007,2008,80,WRITING (Original Screenplay),Male,Written by Tony Gilroy,White,Michael Clayton,FALSE
2007,2008,80,WRITING (Original Screenplay),Male,"Screenplay by Brad Bird; Story by Jan Pinkava, Jim Capobianco, Brad Bird",White,Ratatouille,FALSE
2007,2008,80,WRITING (Original Screenplay),Female,Written by Tamara Jenkins,White,The Savages,FALSE
2007,2008,80,Best Actor,Male,Daniel Day-Lewis,White,There Will Be Blood,TRUE
2007,2008,80,Best Actor in supporting role,Male,Javier Bardem,White,No Country for Old Men,TRUE
2007,2008,80,Best Actress,Female,Marion Cotillard,White,La Vie en Rose,TRUE
2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Female,Tilda Swinton,White,Michael Clayton,TRUE
2007,2008,80,ANIMATED FEATURE FILM,Male,Brad Bird,White,Ratatouille,TRUE
2007,2008,80,PRODUCTION DESIGN,Female,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,White,Sweeney Todd The Demon Barber of Fleet Street,TRUE
2007,2008,80,CINEMATOGRAPHY,Male,Robert Elswit,White,There Will Be Blood,TRUE
2007,2008,80,COSTUME DESIGN,Female,Alexandra Byrne,White,Elizabeth: The Golden Age,TRUE
2007,2008,80,DIRECTING,Male,Joel Coen and Ethan Coen,White,No Country for Old Men,TRUE
2007,2008,80,DOCUMENTARY (Feature),Female,Alex Gibney and Eva Orner,White,Taxi to the Dark Side,TRUE
2007,2008,80,DOCUMENTARY (Short Subject),Female,Cynthia Wade and Vanessa Roth,White,Freeheld,TRUE
2007,2008,80,FILM EDITING,Male,Christopher Rouse,White,The Bourne Ultimatum,TRUE
2007,2008,80,FOREIGN LANGUAGE FILM,Male,Austria,White,The Counterfeiters,TRUE
2007,2008,80,MAKEUP,Female,Didier Lavergne and Jan Archibald,White,La Vie en Rose,TRUE
2007,2008,80,MUSIC (Original Score),Male,Dario Marianelli,White,Atonement,TRUE
2007,2008,80,MUSIC (Original Song),Female,Music and Lyric by Glen Hansard and Marketa Irglova,White,Once,TRUE
2007,2008,80,BEST PICTURE,Male,"Scott Rudin, Ethan Coen and Joel Coen, Producers",White,No Country for Old Men,TRUE
2007,2008,80,SHORT FILM (Animated),Male,Suzie Templeton and Hugh Welchman,White,Peter & the Wolf,TRUE
2007,2008,80,SHORT FILM (Live Action),Male,Philippe Pollet-Villard,White,Le Mozart des Pickpockets (The Mozart of Pickpockets),TRUE
2007,2008,80,SOUND EDITING,Female,Karen Baker Landers and Per Hallberg,White,The Bourne Ultimatum,TRUE
2007,2008,80,SOUND MIXING,Male,"Scott Millan, David Parker and Kirk Francis",White,The Bourne Ultimatum,TRUE
